media,bias,youtubeChannel,viewCount,subscribersCount,videoCount
feminist frequency,leftcenter,https://www.youtube.com/channel/UC7Edgk9RxP7Fm7vjQ1d-cDA,29411711,224060,193
quartz,leftcenter,https://www.youtube.com/channel/UCeU_KibWq-DrynnONK_qDtQ,68005548,198388,378
press tv,leftcenter,https://www.youtube.com/channel/UCaFxVc4xHOea6s5CO0eBxIA,121970284,195448,51350
newsone,leftcenter,https://www.youtube.com/channel/UC9oI0Du20oMOlzsLDTQGfug,152177881,189981,54010
global citizen,leftcenter,https://www.youtube.com/channel/UCg3_C7BwcV0kBlJbBFHTPJQ,102762401,167774,988
inews,leftcenter,https://www.youtube.com/channel/UCoNYj9OFHZn3ACmmeRCPwbA,112642094,163079,23101
(the)atlantic,leftcenter,https://www.youtube.com/channel/UCK0z0_5uL7mb9IjntOKi5XQ,37896156,162495,545
atlantic media,leftcenter,https://www.youtube.com/channel/UCK0z0_5uL7mb9IjntOKi5XQ,37896156,162495,545
need 2 know,leftcenter,https://www.youtube.com/channel/UCIS-e4W5wK2xG6NbI5Tdm_g,21586523,145235,90
la times,leftcenter,https://www.youtube.com/channel/UCw3SYO_euO0TSPC_m_0Pzgw,204956095,133792,13777
san francisco globe,leftcenter,https://www.youtube.com/channel/UCeFBQmxaVN-grC9sFmz5ucA,65655955,130449,40
yahoo news,leftcenter,https://www.youtube.com/channel/UCF7hznHog_lCTbwxjj1jrPg,60751535,124993,2847
cctv america,leftcenter,https://www.youtube.com/channel/UCj7wKsOBhRD9Jy4yahkMRMw,61727345,107413,31872
philippine daily inquirer,leftcenter,https://www.youtube.com/channel/UCvRAX-ujvZ0eTMLGG2vki9w,93213016,105195,9162
ctv news,leftcenter,https://www.youtube.com/channel/UCi7Zk9baY1tvdlgxIML8MXg,77082305,104877,6592
scroll.in,leftcenter,https://www.youtube.com/channel/UCl8zB2LZOiLLV0jYUMpTEgA,7362650,104294,442
new york daily news,leftcenter,https://www.youtube.com/channel/UCx-h2AWPCBJEqzH9HXe2ZIA,138663980,101796,11604
