media,bias,youtube_channel,viewCount,subscribersCount,videoCount
lgbtq nation,left,UCRG85wzvd1a9RJhbhwkGKeA,2188057,1972,103
libcom.org,left,UCJJl3hyuWwEw0EtYfzy0g5A,978327,8639,76
liberal america,left,UC5zPi7g6wk5Y8fiPBhtvL-w,3563,42,11
liberal examiner,left,UCi4WDun0r8loQcb3Zj9BR-g,393940,57,32
liberals unite (samuel warde),left,UC_V0qKHunoEbM2mRaw5icAQ,3901,6,5
liberation news,left,UCQObr5Jec8STSDpM9WV7WoQ,179583,2037,356
little green footballs.,left,UCI6HVq7gXECuFugYJgb8nHg,8919,8,1
love knowledge,left,UCrQqQF7xCMO9aY92uzCKQRw,2,0,1
mashable,left,UCL8Nxsa1LB9DrMTHtt3IKiw,201379202,712932,3915
mediaite,left,UCGJNv0jLqnkp9VbEXTbRd5w,18518,1312,26
media matters,left,UC_70iWZ6ym2cglS_kv5YfmA,30369924,47620,992
meduza,left,UC-30BJyAAObw1irWxu6IPkw,31180287,125223,763
merry jane,left,UCSecgeLcJ6qXmE-tgOMYM1Q,28268019,134822,420
miami new times,left,UCdLRfX-vkWx0YId_ocFQ0wg,3123591,1983,120
middle east monitor,left,UCJX8Wn6opMsBng3QWh0dK6g,177075,382,205
molad the center for the renewal of israeli democracy,left,UCVoX4BZM87huEUITO_OuBDg,966,12,12
mondoweiss,left,UC7oQL6bXDLVlfRzeF8_KcGw,174617,508,76
mother jones,left,UCbWB33FQvFiV0Pq9Calkgzw,19609429,27341,405
ms. (magazine),left,UCK2OIDo6C3b3V0k-jnZb-RA,44129672,208843,859
msnbc,left,UCaXkIU1QidjPwiAYu6GcHjg,954696519,1053122,14565
nap-sack,left,UCTierKIRW_cq2oVhP77VbaQ,6086,19,1
nation of change,left,UCQUyTrOwWwCe_wbJ4Z5GJ2A,57,0,1
new internationalist,left,UCMmyuYx0_fHRLMXVcK8YfHw,153737,728,139
new republic,left,UCJ1jZEwKlTRiLxkmbmt0z_A,734,51,2
new york magazine,left,UCJNMUA0J-hgaTmiNEYZf2Jw,69754901,108137,630
new yorker,left,UCsD-Qms-AkXDrsU962OicLw,64082253,224620,1118
news corpse,left,UCshL6TZzen7nLY0OPZXU5fw,29912,27,12
newshounds,left,UCWOX8hUe00Qj-OV_GeyHdGA,13862682,5512,2120
north99,left,UCJszUHU2nJ97uPNFXH3_hIg,1876,5,3
nova magazine,left,UCyFcUrADiqV3uTBHjKD76Aw,30101,116,60
now magazine,left,UCPF3W6u4chey4aaE6oCB7Bw,877333,464,140
nowthis news,left,UCn4sPeUomNGIr26bElVdDYg,21468603,75030,1174
our voice ny,left,UCqnbDFdCpuN8CMEg0VuEBqA,590491394,1381379,9229
palestine chronicle,left,UCuYy0qGAWkBBPvrMOj-quLg,106,4,2
palmer report,left,UCCJDIJ2OgwVVbXpy_wj2iPw,15557263,43793,203
paste magazine,left,UC_PscE_7n8SiMspieMGMK_A,66150401,87209,12502
peacock panache,left,UCn7b6PCehgg4ZNh5NDcmy9g,58719,22,13
people for the american way (pfaw),left,UCOEqEhNpKnvLoiexhKo05kg,5627330,2507,265
people magazine,left,UCGbQJy-531_5vfphay-rChQ,233652355,314492,5974
pinac (photography is not a crime),left,UCnY_T4xWN8_PZagrn5pR7qA,830111,3111,24
pink news,left,UCQLRK5wiWGmzp4dnFt0arwA,3031713,7621,188
political updater,left,UCMCyDd26sLDDVCt4atadT9Q,204173,1715,1553
politicususa,left,UCRDvr6eCqkvN8SoZLGc_PGQ,234016,316,34
popular resistance,left,UCQXtGbmY2X1XnAwJCKyUdqg,184927,260,62
pravda report,left,UCLh3CUymJDXbXXmLZtLtQwA,25079191,31651,1886
press progress,left,UCIPGLy8do4qmWgYs6_TTX0Q,1244579,751,206
progressive liberal,left,UCjxvv2i8SodJwAYTsiVaGvg,2914,6,16
project censored,left,UCJoF7fHbtskvHH-fJUBRddQ,4013,460,9
proud democrat,left,UCAv6VpDtIM1UIV3cqgaK7Eg,424,9,12
putintrump.org,left,UC3Y7rOdQCaRp-hg-svs49eA,254,0,1
queerty,left,UCLYgazsko-JyGriKjY3OLXQ,913306,2290,123
rabble.ca,left,UCMsWTbr8EdXTXsmRTWqkZMA,832465,1353,545
rantt media,left,UCivQOc0wSLqXNNWwi9sAmbA,323,4,3
rappler,left,UCdnZdQxYXnbN4uWJg96oGxw,218410021,307641,24300
raw progressive,left,UCUopvBtHeCwvIQJwiUI6Wmw,87839434,251334,1620
raw story,left,UCCtRnlUnflmKQ5GHeyu28FQ,5776286,4194,374
reading the pictures,left,UCQtQBtdJBBvCCtK1AS_ZcDA,49109,246,102
red pepper,left,UC-BG8jc9gI_BpobNXldQuFw,117666995,1279812,344
red state disaster,left,UC2uW-hEgFJ7KYBbha02EG0Q,30017,49,13
red youth,left,UCA6phpitJR64HslEtsZIm9A,1857,27,5
republicans suck,left,UCpw52RPNVHxrP1F_zEr8cjw,0,0,0
rewire,left,UCAFBc12zsAylgNXzV546IjQ,0,217,0
revcom.us,left,UCqKbr6whKVdG072pbDICOLQ,59392,149,174
reverb press,left,UCP7revNx7zU5_-Yr7Urn5nw,38693,48,77
revere press,left,UCIDsq3oWHH_PsJlWaBFTHeg,113,3,6
revolution news,left,UCz4wetSaxA-UJDdSQ-OuFJg,6635659,123257,95
right wing watch,left,UCMXqRHe8n1TX5iDvkLS62rw,47288941,36806,5735
ring of fire,left,UCYWIEbibRcZav6xMLo9qWWw,96841747,209659,7932
scary mommy,left,UCZhCc712aJSFGSRLzyakpLA,1137787,5554,261
shadow proof,left,UC_98en_oHyT3wDP8mn9DQaA,13403,220,24
shareblue,left,UCWYaThWSZT8e4cNCTjcO73A,324174,433,15
slate,left,UCYC4ijpFZY_CtdElWFyy-Gg,115636068,146112,3094
smirking chimp,left,UC-J5AgjqOJKzeDKDJYv-0YQ,7858,5,1
socialist standard,left,UC6exYBpLgN93c3MHkZ5admw,5049274,5400,26
sparks/cnntimes,left,UCPHWo6bBDknmd-INBHNH9ww,705731,5568,595
splinter,left,UCWfXtVMv-WZZasSwpEA-meg,58317,495,24
st. pete for peace,left,UCaZOlsm_rEmMLl7rcGprCPQ,985755,1738,81
syriana analysis,left,UClvD6c1VI75QZWJjA_yiWhg,4983219,24256,259
talking points memo,left,UCTcCX_XY4l-W2ba5IxIRhsg,164824935,65339,6497
takepart,left,UCFYRWsIH2BivGa_-2LVTsBA,24227154,58649,1112
telesur,left,UCbHFKMtqLYkIBRiPHJwxu_w,242506366,343312,299499
the american independent institute,left,UCgeE37huZNRgR12eA0RGhXw,1084716,7538,962
the american prospect,left,UC_sE8MCiOK9otVmNYd4ofxg,1032,28,2
the blue route,left,UC9BKTROZ7uYNSAd_NhaZIHw,6571,19,6
the burning spear,left,UCLjzzg-cFWpEEjnWCOpXp3Q,925689,5012,482
the canary (uk),left,UC3aQBsXR4i7sMcrc_LI1pgQ,238043,1348,64
the climate reality project,left,UCIJk74xZtFZut1rJVHVVXeA,3760967,13809,451
the daily banter,left,UCLIBxKqilK7RMtjPx5wLDFQ,10044,13,29
the daily buzz,left,UCAPyyJsxh54Egl6hsJ6fMcg,105359539,15351,2615
the daily vox,left,UC9-EHjkOfBwD2_jVBsgpxqQ,88613,226,86
the democratic hub,left,UCD_-DwFQ-z4n_i6BzLjinEA,564577,1282,488
the florida squeeze,left,UCF9dRCY6GEJlrVC_pHgggyw,31637449,370538,126
the frisky,left,UCKt8DASkjrNEeHAr7Td-a8w,20707,10,7
thegrio,left,UC8fThw1O4sPhLlgSrfgwAGA,11951118,20392,2509
the intellectualist,left,UCvFd4x7VM2-Dl5e5A6gkVpw,489,1,1
the lily,left,UCQCJ4E2Nc9XaCL7O_VFVEjA,479970491,722103,78
the london economic,left,UC0307R10cgh8JGdVnAgggXQ,245,5,1
the mary sue,left,UC9p4VHaB7JWTZgvVwMMWF3Q,502547,2078,290
the militant,left,UCP-F7QTF57ElEjDVu7t_7LA,4957262,15305,193
the nation,left,UC2x_qNZXKDxNP1j4jvHATRQ,21705742,58885,3148
the national memo,left,UCfzErH3zaum9yzKTEykjfXA,875171,334,2
the other 98%,left,UCi_vSLFeG_O6NOOWhkGMDnQ,3268948,6536,80
the outline,left,UCMS9trjSAJbZJIdo062XGsQ,4711418,25344,62
the progressive,left,UCVOpH1nJioh1d7UgTnZ98kg,5617854,20433,1831
the progressive frontier,left,UC0EvlD8fjogI1_w1qxAs53Q,336,24,3
the reality-based community,left,UCyhFbpDcoWsDu3bflMNwzRg,330429,154,37
the root,left,UCg5bOg1qVoZ2JDJ7MmjY63A,1971270,14590,171
the source newpaper (la source),left,UCoMdktPbSTixAyNGwb-UYkQ,312007613,801908,9240
the village voice,left,UCDOfE0rvbEzmFyNcmS7Sdzg,8305,26,19
the walrus,left,UCctZiv1A02Uzy8JGzeCd0yA,559315,2099,870
the world can’t wait,left,UCDCSEcGjvEUHskSVFNbqsQA,45990,216,229
think progress,left,UCYdasX3ym3E5r1iozVllmzA,903338,3011,226
this,left,UCPT9_sNLoBLjH1uea7zpVIA,1356457867,5953621,785
towleroad,left,UCK6b9S4vTfIyD37KO2hgLGg,1112662,1174,66
tribune uk,left,UCTODjsTtFlXlN3b5qacklcA,1366,7,15
truth against the machine,left,UCUP0P3KlVb1RV-MBJqiyg1A,299993,2864,330
truthdig,left,UCJoETvJ0a2zVRFzj02MzmLw,3125968,10198,347
truth out,left,UCCZ4F8iGWpWh7eOi1v8wTTg,147,830,11
uproxx,left,UCueKD4jxzgHvCISK2pBt0cQ,68272186,148852,789
upworthy,left,UCswDowOOvJ-fkCgH9YAITjQ,13946974,162957,242
us uncut,left,UC-XfLNxDeIfmEescvc7qUJw,6165503,7008,43
vanity fair,left,UCIsbLox_y9dCIMLd8tdC6qg,407558372,861550,1874
verified politics,left,UCUByZxGbKbYyS42vArck35w,173,1,3
verrit,left,UCA0bOG0NUfJ855eDtHSxOkw,1817119,36391,3033
vermont independent,left,UCHXMiUoEfrGyktUzzu9MBWA,1645,29,53
vox,left,UCLXo7UDZvByw2ixzpQCufnA,978888821,4355926,854
washington journal (not c-span),left,UCb--64Gl51jIEVE-GLDAVTg,189423062,221629,6512
washington press,left,UCxqVxIzWVSlnSx5l5bZZz-A,194,5,7
wear your voice,left,UCWUELcfXOqUhhlpRW5l5TcA,67698,199,30
who.what.why,left,UC-qbk0cdNP1-uU88-a_IAjA,767257,2257,376
wonkette,left,UCUlXFewpX6ZProHdsAfsknQ,11419,157,11
workers world,left,UCr7veYVN9t6UPoB1_icFG1g,151372,1221,900
world socialist web site,left,UCwQKTzuzDIazT37whnR0lqQ,1469472,4776,547
yes magazine,left,UCYTcoIDX34Gua8UyAiZongg,758552,5043,19
young turks,left,UC1yBKRuGpC1tSM73A0ZjYjQ,4294839709,4013553,33411
z magazine,left,UCFiSZetQ_4utLOnU4r4tpPQ,193725,1631,77
abc11 eyewitness news,leftcenter,UCe7cIhm4_RWsThRzBCXtmOQ,1185552,1977,1157
abc news,leftcenter,UCBi2mrWuNuyYy4gbM6fU18Q,4087765148,4132630,43207
aeon,leftcenter,UCQmlR5gLA_PHj_2qwgDcXPQ,2585203,42877,41
affinity magazine,leftcenter,UCHKTV9LAVnRGx9ccrFelYmw,1938,8,1
african arguments,leftcenter,UC56pwfsPSrVKnIH0_8pYzEg,217,6,7
al-hayat,leftcenter,UCWuj6cpZL_T1U508Y082u3g,1992601722,3481292,127549
al jazeera,leftcenter,UCNye-wNBqNL5ZzHSJj3l8Bg,1125139223,2344119,74625
al-masdar news (amn),leftcenter,UCcq3o3PLCvdVNfmwbrMnwIg,241919,613,13
al monitor,leftcenter,UC9oLvlUBxIKkd2nNLyjmmew,1873,601,11
alan guttmacher institute,leftcenter,UC5y4lzU7Mlk3kaOgeFy4M2A,29937,54,84
alaska dispatch news,leftcenter,UC4JVxN39Y1vCOp8tQ8EbUSg,32118990,18463,1031
albany times-union,leftcenter,UCEgBIoEucE2H6tA1LRywR3A,12661,18,2
allied progress,leftcenter,UCtkf6gMHXuLd9tYtzfhVzSA,145377,107,70
akron beacon journal,leftcenter,UClaIZayJYZunD66ib5e32og,844899,0,719
am new york,leftcenter,UCIzxIaXiyw2TivJRiagHZ3Q,1390544,602,235
america magazine,leftcenter,UCKrLOIYtxTfjkBy5ho3FSaA,2490340,8209,507
american civil liberties union (aclu),leftcenter,UC7M42vQrNmZ0tnmmenLWwBA,9073899,18775,699
american herald tribune,leftcenter,UCGCfl9zPVNB8TIdqB3VpiHQ,88232,103,2662
anniston star,leftcenter,UCAizlZwsykWD0uOkciwG1QQ,31902,199,134
anti-defamation league,leftcenter,UCfVotMGyD7sVMomr2AzsBtQ,1964823,3252,142
american public media (apr),leftcenter,UCPDis9pjXuqyI7RYLJ-TTSA,4799253260,13961840,669
aol,leftcenter,UCXQ0Yj5jYWE2k0Hi3r7a5eA,3039914,57446,56
apm reports,leftcenter,UCgtbbvo6pzkmJoznW9DYHfw,358345,0,40
ara news,leftcenter,UCB7_hlZGljw4f3shwIAZ2KQ,1554730,10681,2778
arizona daily star,leftcenter,UCeYHpGha-z3ahTum2tpvf-g,13675079,14011,3792
asheville citizen-times,leftcenter,UCE5WegcnGuZNIt_FM1hiOXA,234,4,3
atlanta black star,leftcenter,UC1hxUKIonH_8N7Xqj65IEsg,4116661,15911,264
atlanta journal-constitution,leftcenter,UCX8Mxrilgd_scmtQUo77CUA,8120630,0,5228
(the)atlantic,leftcenter,UCK0z0_5uL7mb9IjntOKi5XQ,37896156,162495,545
atlantic media,leftcenter,UCK0z0_5uL7mb9IjntOKi5XQ,37896156,162495,545
attn:,leftcenter,UCX1QptigcsbBubVqtB1JK7g,5844183,19959,53
austin american-statesman,leftcenter,UCf0aMG-_d_ol_7BEllE3kRw,870445,824,472
axios,leftcenter,UCfU4-ArXuSX0tpyApyklMAg,347652,3279,161
backchannel,leftcenter,UCMTmpSWsKsviCz64LDh0jLg,88973,313,16
baltimore sun,leftcenter,UCi3XG3QjiaTUpIrzDMZEpjQ,7900911,4249,1462
bangor daily news,leftcenter,UCdI1qc1goct0ETIuuVXcFoA,364868,354,137
baptist news global,leftcenter,UCLCH8ih5AkKTS0VKDUIvK8g,570,1,10
bbc,leftcenter,UC16niRr50-MSBwiO3YDb3RA,808597227,2856088,8678
beijing review,leftcenter,UCbPmn9xCFVYct7ghFQcr0DA,284014,0,1332
berkeleyside,leftcenter,UCEGPkF2XdEMbj-JRyoWk3Mg,427361,220,232
berkshire eagle,leftcenter,UCvL92VdN1kAeX_769U407Nw,486770,419,3418
billmoyers.com,leftcenter,UCmL2pyZOCTQl0-ntGBWDZIQ,6629128,41017,345
blastingnews,leftcenter,UCgY8c0IVjc3PjQJlY-VynKQ,152634,1581,65
bloomberg,leftcenter,UCUMZ7gohGI9HcU9VNsr2FJQ,317546733,1061549,47685
boston globe,leftcenter,UCcNkwfTQuXAxAFwoAUHweJA,60953468,36900,6038
brookings institute,leftcenter,UCi7jxgIOxcRaF4Q54U7lF3g,9109460,56290,6280
buffalo news,leftcenter,UCENwe4N7FQCfIWY5wEjimNA,72600042,40642,34771
business insider,leftcenter,UCcyq283he07B7_KUX07mmtA,378703400,890095,4350
bustle magazine,leftcenter,UCHcIcCNAULM4qWs6-9Iy-Tw,34327550,88073,337
buzzfeed,leftcenter,UCpko_-a4wgz2u_DgDgd9fqA,13680042467,16938328,5424
calgary herald,leftcenter,UCrbOGpnOudmETQ0WZkyvD8g,7372749,4241,6727
calwatchdog.com,leftcenter,UCmo5Kkt0WQsnSQ7PFS3X0HA,286009,1164,119
canadaland,leftcenter,UCLkV6e6C7mOs99MLBRA-OkA,119489,1380,18
carolina public press,leftcenter,UC1il8sXpk7wC36kVWCwO9kQ,6375,46,36
caribbean life news,leftcenter,UCUtvhwvf0IVaE2Y1VoYrw2A,910,8,2
cbc news,leftcenter,UCuFFtHWoLl5fauMMD5Ww2jA,358527922,786094,10635
cbs news,leftcenter,UC8p1vwvWtl6T73JiExfWs1g,715930058,826883,63226
cctv america,leftcenter,UCj7wKsOBhRD9Jy4yahkMRMw,61727345,107413,31872
center for international policy,leftcenter,UCuDgPaqy0rVMUEeKHKgkDfw,874,21,11
center for popular democracy,leftcenter,UCiU_Sh7AsIry-eQaYeAPR8g,15787,108,70
center on budget and policy priorities,leftcenter,UC9gHZDwMWIVXSilOt8pOr6Q,126246,592,89
charleston gazette-mail,leftcenter,UCgfW_e_C-P02GxwPjN26uLA,4948925,2601,1151
charlotte observer,leftcenter,UCO6BPX6_ubwGTGHIVdYTpcg,4462269,2770,2660
chicago reporter,leftcenter,UCKL_VqV2UqBnmjGy4fLQ24g,620972,366,178
chicago sun times,leftcenter,UCvU3ALK4osa_RV4znIToB2Q,15568684,14393,4136
chicago tribune,leftcenter,UCB2aea_wLJJaklTOplAC82A,50962243,42933,4301
citizens for legitimate government,leftcenter,UCk_-dqB0AwfEklF7Tld4jog,5952994,7058,142
citizens for responsibility and ethics in washington (crew),leftcenter,UC5I4mzoVcZz6nAn1BR7Bv6w,217566,465,210
citizens for tax justice,leftcenter,UCAN_CiJhTsUuixhpWdmYOOw,24743,172,91
clean technica,leftcenter,UCSUThAoiQIrb5lqUAwbaxfg,6335,163,8
cnbc,leftcenter,UCvJJ_dzjViJCoLf5uKUTwoA,128965489,333315,13375
columbia journalism review (cjr),leftcenter,UCLm-piysUX6HP9w62VIMu7w,6300,95,10
columbia reports,leftcenter,UCBAKl9mVb1C53Ex4zAMlyFQ,1916,22,16
committee to investigate russia,leftcenter,UCaSlEYI7WQq0zextePz7-GQ,84190,854,9
common cause,leftcenter,UCnqoSXZ2ah2s4CK_4QCozew,8272942,21749,64
commonweal magazine,leftcenter,UCsJeu0jbtwY5ZlBx0qYDvvA,2045,10,54
commonwealth fund,leftcenter,UCtkBGr32o9IDcWWStibw26g,227467,324,50
corporate presidency,leftcenter,UC3XTzVzaHQEd30rQbuvCtTQ,1635080158,6319081,243
council for the national interest,leftcenter,UCy_pRUTuZI2ed6qLP8tKpmw,536,9,5
credo action,leftcenter,UCve4b2duWL169N4AhDogrmA,302155,0,243
crosscut.com,leftcenter,UCIM7SPs2PwuLPj2-X8jAnsA,211582,2407,16
ctv news,leftcenter,UCi7Zk9baY1tvdlgxIML8MXg,77082305,104877,6592
daily hive,leftcenter,UCm3DfoFxJO0iKvVHAdpdOKg,1033832,0,208
dawn,leftcenter,UCaxR-D8FjZ-2otbU0_Y2grg,108775039,255870,23634
dcreport.org,leftcenter,UCJN75PLD50xD6FIa3dtohJw,1194,53,3
deadline hollywood,leftcenter,UC0fTbhgouDMneMzSluKaXAA,22754308,18156,1530
deccan herald,leftcenter,UCHDXXHPrz-1GVbK_qk82hBQ,5609127,14455,784
delaware online – news journal,leftcenter,UCJ7JgIIYqTD0m5xLm66fZYA,4009231,1929,1342
democracy 21,leftcenter,UCzuqE7-t13O4NIDYJfakrhw,109874730,389321,9140
democrat and chronicle,leftcenter,UCFiwUZWV8SNcQzGRe-OGTqQ,155923,296,303
demos,leftcenter,UCGQNq48_VaF2w07lJth-yNA,96877,1423,92
denver post,leftcenter,UCDlkrCpxEOO1qLwCs_Br_Wg,5511934,6980,3444
detroit free press,leftcenter,UCdHm_sm5CzM8ftbORawpKYA,629591,582,81
die zeit,leftcenter,UC_YnP7DDnKzkkVl3BaHiZoQ,9950633,12138,563
digg,leftcenter,UC5-oVsRPiz6Edf2A6Pj9JNQ,30391430,56713,79
diversityinc,leftcenter,UCV8O5e99OWKG8xmzf8c4t9Q,648993,925,681
dutch daily news,leftcenter,UCHE92x768p8h-fMrqhsnE1Q,53990797,269358,2250
dw news (deutsche welle),leftcenter,UCknLrEdhRCp1aegoMqRaCZg,131166032,329976,21425
earthjustice,leftcenter,UCdEXiZuSR2Q1WQATKkClbhA,2222887,3768,158
economic policy institute,leftcenter,UCBP_y4Vi31ZECb1I9rOTL0Q,606269,3161,158
economics.help,leftcenter,UCLtiT8pn0szXKJQvXuXz-_w,88023,900,28
edmonton journal,leftcenter,UCVyik4cnxEmbefInU7JnWyw,9063330,5440,8382
egyptian streets,leftcenter,UCDJo7cdprmVAJZfLBT7fsOQ,45036,338,16
electronic frontier foundation,leftcenter,UCS66aeKQNvJSOOGPjVHDE3Q,2483781,12646,90
el pais,leftcenter,UCnsvJeZO4RigQ898WdDNoBw,174263281,247762,9638
el paso times,leftcenter,UCO76nfOYxfjdTeS0HFDiSwA,473813,648,1742
emirates 24/7,leftcenter,UCjT_xhkVciQCOyiOpAebr8Q,1882646,4788,157
empty wheel,leftcenter,UCREqEo2t4LW2Rq9DNWhbmkw,70339,40,35
engadget,leftcenter,UC-6OW5aJYBFM33zXQlBKPNA,170360056,549821,4061
euractiv,leftcenter,UCDCgvwyjJqZWYs6j0D2FF6g,30029755,18252,5042
euromaiden press,leftcenter,UCp5EP976ZmsydXhMEZnisDg,224616,530,103
eu observer,leftcenter,UCKfYMeNPntygVHEdT1X5V0A,229467,0,235
exposing the truth,leftcenter,UCmjmBsFa2ImNyb8POy3fRpg,467634,2848,14
factbox.tv,leftcenter,UCUma33-EDcvt_ne9tiaJO2A,1038736,2060,12
fairness & accuracy in reporting (fair),leftcenter,UCK0FoB71bopScFohIreFeZA,160447,745,25
fairvote,leftcenter,UCb8R3tlbcYaE5J5-HUBf7mw,348766,1083,78
fast company,leftcenter,UCqeXB2WsPdzcdCdP-bUc52g,14729583,50368,1868
feminist frequency,leftcenter,UC7Edgk9RxP7Fm7vjQ1d-cDA,29411711,224060,193
fight for the future,leftcenter,UC8QlojxJEilcCFExqn4qc2A,1765467,4573,55
fort worth weekly,leftcenter,UCYuhv8McIA_0znEhEkaCn8Q,24983,61,187
france24,leftcenter,UCCCPCZNChQdGa9EkATeye4g,319035489,760808,51260
freakonomics,leftcenter,UCoNu78-9hNkgWXmIvJUCfzQ,97483,3240,241
fresno bee,leftcenter,UCZvZ0x94IKEjEB7yomwNOCQ,9215321,3626,4026
fusion,leftcenter,UCuqBZWK9Wrol_4Y22DzisFQ,139022844,818319,772
gay star news,leftcenter,UCF84AcvzViybFvmNsiA_gIw,1365989,5628,326
geopolitics alert,leftcenter,UChXYTxpNDTgSDYr-wX9znjQ,220,0,3
greentech media,leftcenter,UCOotVvzwM_kIiUpj5S4y8Jg,276292,1907,393
glamour magazine,leftcenter,UCY9eEaH19ulZmdusctU1ejA,389849099,1243913,1513
global citizen,leftcenter,UCg3_C7BwcV0kBlJbBFHTPJQ,102762401,167774,988
global news,leftcenter,UChLtXXpo4Ge1ReTEboVvTDg,194147872,232616,8039
global post,leftcenter,UCDWKcaQUosn1trkloDnIahQ,54335,377,28
global risk insights,leftcenter,UC3nyQqxB_l7_IkOCt8GPkAg,1532,9,7
global times,leftcenter,UCO9SfFMUHEeMXt1EKIcN1oA,549016,3126,425
grist,leftcenter,UC7ga3FLMFOOpMQwaYoW42bw,5318016,11383,354
haaretz,leftcenter,UCJboXXfoy9Ik4MKU9cpA-Uw,13193193,12273,1676
harpers,leftcenter,UCzsF1ghKHeif7AmTNlRYAzQ,66948298,359604,1237
hartford courant,leftcenter,UCUDa2TqrTg7ZCRv55CYFoOg,143669,84,80
health magazine,leftcenter,UCF11Yrx9bAy2Q6j6lgo0JwQ,8021115,34720,1178
healthyway,leftcenter,UCH2atiUfcQQUayKtIhfJZYQ,4880043,464,223
heavy.com,leftcenter,UCDH6W-YM39hL0_vgeB3EDsA,24369296,42429,1202
helsinki times,leftcenter,UCsX1r-6PC7qvHJu1X6S1ZBA,572,8,1
high country news,leftcenter,UCcsABlXkft9BcOixi-WSfkA,263427,366,81
hindustan times,leftcenter,UCm7lHFkt2yB_WzL67aruVBQ,133688769,317083,8731
history news network,leftcenter,UC2mcfqlxA-6ei8RcXoraqGA,378217,347,483
hollywood reporter,leftcenter,UCZ8Sxmkweh65HetaZfR8YuA,139010954,370178,3746
honolulu star-advertiser,leftcenter,UCoMkJtubO2MhiCktOkUAi7Q,10984414,7595,3630
houston chronicle,leftcenter,UCaYj17xhH-CkyT-YR_QdDVw,3330521,913,284
human rights watch,leftcenter,UCoS-mm5bC5eY07AaKntKzgw,25859532,66554,980
humanium,leftcenter,UCLbgxBMMEo6mAYe87esxGmg,11674882,263752,37
hurriyet daily news,leftcenter,UC48QBaDTu8ijB0CoxLKohsA,67864,102,8
ice news,leftcenter,UCpJ21fmRG1_8TQfIqh2I62w,10717694,32623,3033
if america knew,leftcenter,UCXLRhe7EQV3rg-bdK0cr1zw,295432,2723,96
independent australia,leftcenter,UC5YUlEVr4BoKjuKZ0JfLBpQ,15,0,1
independent media center,leftcenter,UCv12xKxM_R-_tzMbfopzsUw,405677,1185,42
indianapolis star,leftcenter,UCux_zMZmqRrxqnczRnk93NQ,4421320,2980,4218
inews,leftcenter,UCoNYj9OFHZn3ACmmeRCPwbA,112642094,163079,23101
inquisitr,leftcenter,UCS7b93ZwoL1xt2hR7a7l2mg,583329356,2438127,531
insideclimate news,leftcenter,UCd4lxXRLFr9_xtGYv1uWeug,9686,206,13
inside higher ed,leftcenter,UC2NTyqGAu29R_mgaIOxfpEg,398257,1537,804
inside philanthropy,leftcenter,UCOURHa5O1tfrqZXsl_P5lXw,322,9,28
institute for middle east understanding (imeu),leftcenter,UCUtA1uqrstiZOge02TK7o1Q,2019,18,15
international business times,leftcenter,UCm21epEQGwyCmCoZidHhSqw,1606693,4462,2101
international center for research on women,leftcenter,UCmWtkCW1qkJMp77jMw4E3Sg,8,0,4
international crisis group,leftcenter,UCj015l-Gu66iB80-X_sr9tw,157316,1749,177
inter press service (ips),leftcenter,UCemPsqj3yYvRhDIsvm1K6CQ,61103,279,128
inverse,leftcenter,UCrG1iiGrJNcfiT61rNkdUIA,7326,37,38
ipolitics,leftcenter,UCQQ5t1A3aIvGFe1QVHIjwOg,118338,254,238
irin news,leftcenter,UCywzC-uE_4uVMDIan9Av5uQ,3262234,4332,321
joint center for political and economic studies,leftcenter,UCp9whNSjWmlqW8v4K1-tyvA,42,1,2
journal of politics and society,leftcenter,UCE__TQFNaEEJ8YBbUXsC0tA,202,2,4
kansas city star,leftcenter,UCDKXqKVQz__gFavp64iyx8w,10063260,7777,7443
knight foundation,leftcenter,UCiRvZwpfXSoRH3lyo9P3ILw,1465,29,15
kmov-st. louis,leftcenter,UCwHKLYLfz6M14SbBahFH5VA,614804,2034,154
koko news 5,leftcenter,UCHUlmzuatJMUXWgzlIkWNWA,99398001,1540159,136
kuow npr,leftcenter,UCbAzV-QAfHd1ckMfwU1d0Eg,181544,326,163
kurdistan 24,leftcenter,UCDf50m6KorFbRRPxV6-r3yw,16509591,32600,20260
kyiv post,leftcenter,UClnEMtKghVQWqw1tOX2NeMQ,1094345,430,192
la presse,leftcenter,UCvPIx4OH6uiQcp2Q4aG6EmA,702675,2656,174
la times,leftcenter,UCw3SYO_euO0TSPC_m_0Pzgw,204956095,133792,13777
latin times,leftcenter,UC_XDq-FYD6ZFUbgDHQ23Xyg,3248,8,6
law newz,leftcenter,UCz8K1occVvDTYDfFo7N5EZw,20887151,50180,4820
lethbridge herald,leftcenter,UC8ke0tE54ROfKt7WmQrmtaw,285936,135,173
lexington herald leader,leftcenter,UCPhVqO6gISmStEikSvmvYyA,9460521,0,5942
liberal mountain,leftcenter,UCSLK1MvekBlHWoD-dMLygDQ,86,0,2
lifehacker,leftcenter,UCYGnmkFGP4EgAOqu58JA_lg,60700944,275382,939
liveleak,leftcenter,UCIRIzGg5ZeO4moG9ahVR8GA,14010222,0,124
maclean’s magazine,leftcenter,UC4Snt90pJvXHWoUAMsYSN0w,10804830,0,1322
maine beacon,leftcenter,UCMflr-0KUBIzneY6hDpMsKQ,64,10,2
malaysiakini,leftcenter,UC9ULnkwvyofZ_sWrzRpyvrg,752564817,788604,50087
