media,bias,youtube_channel,viewCount,subscribersCount,videoCount
extraordinary news,conspiracy,UCYw2_F1xHedGWww3MR8YAnw,61225428,636906,416
faithpanda,conspiracy,UC8BKgn6oe6wq9X1SipxTsyA,0,10,0
food babe,conspiracy,UCPmpFpGkhwxs42hexGB_bTA,2856475,38908,47
food matters,conspiracy,UCrrixaOr-bEIxIP_J1UUnsg,7512070,29684,160
freedomain radio,conspiracy,UCC3L8QaxqEGUiBC252GHy3w,248919884,803090,2977
freethought project,conspiracy,UCmT7hTV8VJU6CiCGEs6hFbw,29343641,34401,234
friends of science,conspiracy,UCSjTdgNgUW7VNfemabYV3Kg,394705,1317,212
from the trenches world report,conspiracy,UCUcyEsEjhPEDf69RRVhRh4A,141804690,884066,608
geoengineering watch,conspiracy,UC18-7qYJWAqM9eF1GvMn6Og,8755869,70580,250
global healing center,conspiracy,UCUYI_ovPG0xO3mCjVCWvcbA,18189564,132755,262
global research,conspiracy,UCvtTGZEcS8mbWdB7prg4QNw,4402284,33469,442
global skywatch,conspiracy,UCqtAciIk1gbQi8WseAmXx5A,147004,1884,297
godlike productions,conspiracy,UCzH5mWrWVBCfPGj5MQKQnRw,18691,291,31
got questions,conspiracy,UCrHADU8H0P2Q_79sAhYjlGA,2751906,40011,174
greenpeace,conspiracy,UCjgJNDwtoqJilBjuFpGOlNg,5908776,21991,689
gulag bound,conspiracy,UCMEVzJYm8Yl45n9jR2c2RNA,8828,69,7
haarp.net,conspiracy,UCvNILC-oKDoxq2BZlpi8YRw,1693924,12710,299
health consciousness,conspiracy,UCjqlYmzSbQl6UvHAvB2miKw,59146,11354,7
health eternally,conspiracy,UCMEsj1gcvtqix9NNVuVqnIg,246,0,17
health impact news,conspiracy,UCXCb-o_QC2fAfeGx3eSCDTw,25822,253,14
health nut news,conspiracy,UC85x4iQIC8JENyLy6xRsF8Q,2497372,29373,276
health sciences institute,conspiracy,UCdUwqsYOIL-UXmOCucb1kxw,98,1,1
healthy vibes,conspiracy,UCep3OS_MU_HwKtdQmBWpvdQ,416,81,2
hello christian,conspiracy,UCSAcXq1WNzRbxdjfY2AYQSA,697355,6039,54
higgins news network,conspiracy,UCzdX63jetxW0nx9vRKpQHvw,278242,145,131
hl12,conspiracy,UCCLMoIX13Yj8_00jHYhCKPA,141,1,1
homeopathy journal,conspiracy,UCjU9NLJlE3j5LXr-iU2sxbw,36022,287,68
humans are free,conspiracy,UC60411a4jmmzvrM2DGkgdHQ,6260,80,24
ihealthtube,conspiracy,UCA2W3T-G5egtVxBBdumQxHQ,62023492,302513,3345
independent living news,conspiracy,UC_aDmB42IpdgQkw_nc6ICqQ,144,7,7
infinite unknown,conspiracy,UCXHg1DfJsd6z5ZR1NngI-Zg,28,0,13
infowars,conspiracy,UCvsye7V9psc-APX6wV1twLg,1592865456,2415735,35736
institute for responsible technology,conspiracy,UCEpUgQ6muzZ9YPy53O7w2HA,1931987,10254,139
intellihub,conspiracy,UCM_6k2iOLsBbcMN_xgtIYYQ,738130,16458,72
"israel, islam and end times",conspiracy,UCCCGJBtHvKmkYtyUU1NiDLQ,275103,3047,42
jeffereyjaxen.com,conspiracy,UCCJAIN0vEyHXecOKQz2ySdQ,174356,857,12
jews news,conspiracy,UC_vt34wimdCzdkrzVejwX9g,325301012,1597288,14492
jones report,conspiracy,UCvsye7V9psc-APX6wV1twLg,1592865456,2415735,35736
knowledge of today,conspiracy,UCSnoyZ9-r4RdbcBvHMyUQGw,320,5,2
larouche pac,conspiracy,UCASycZsCsne1D7ItBA4WMSg,2120826,9679,1023
liberty videos,conspiracy,UCE70bXlRBhhpecmCfZps3eg,1450120,44336,118
lifespa,conspiracy,UCiqvFUMzkLnUlKzkd3s4N_Q,7584403,48180,469
live action,conspiracy,UCvC6KqMFj7ifnd-JH7hYtQA,26760800,33434,333
living resistance,conspiracy,UCd0moFQdqo5lG1Cscq8oOzA,99394,91,1
living whole,conspiracy,UCLmr9JbHtUrZ44CjpVXUV8w,0,38,0
lozier institute,conspiracy,UCMmutbiEGZ2ahMtO46xlKZw,433,4,5
media roots,conspiracy,UCz-bsPPdxAevHZFrRlr8N6w,1073732,5778,80
medicine news,conspiracy,UCMJ9ehWV7mhhk87CZ_hyjVw,1113209,0,242
medusa magazine,conspiracy,UCAdvEYbDfpEp13g5wLcWXHA,3046981,10642,224
mercola,conspiracy,UCxscQY7X0mtnaCbkGTjZ17g,86738585,272995,2156
mindbodygreen,conspiracy,UCxAB39SRMVabVZEOKTo6iVA,1257561,21440,209
modern alternative mama,conspiracy,UCeIGWZ87xqoEn3248SO1uQw,93,0,8
morning ledger,conspiracy,UCB_IQppQmk08jWhVEBx0_jw,142816,2220,26
murica today,conspiracy,UCVvaRV_Myb-XhQpNE0pJR5Q,32235,55,81
natural awakenings magazine,conspiracy,UC9DA1-twHiinU0oTLFxzugg,895,2,5
natural cures,conspiracy,UC_gcEbkXOt8j7NUoxulEaTA,208489549,1831150,599
natural health 365,conspiracy,UCwbrSKPyqtgolrRKcrfjRFQ,1464995,8019,39
natural medicine team,conspiracy,UCaiO4TyBLaKEuXLDFzw4i-w,611906,2159,34
natural news,conspiracy,UCdRRA3aC-e4Njs2q5jOVTCw,22903,1412,2
natural society,conspiracy,UCWpPmlUj-p-Hug6vS-jEZIg,0,106,0
naturally savvy,conspiracy,UC5yFYLUfWGjydZnYXmJPcmQ,7069,47,63
neon nettle,conspiracy,UC77Wown_mgM9hhOmj5sAzuA,776571,412,19
new american news,conspiracy,UCJ0kmBes7vSjT3QoWDfjwwg,305879,2052,315
newsbud,conspiracy,UCdHZela1qTNM9iIw2YxenIw,7749660,59050,662
newsinsideout.com,conspiracy,UCacoA8P0puit38sX3sFW9vw,9265,222,6
now the end begins,conspiracy,UCWaSnCxBPg6OuC_3EbdCeMg,1831683,2569,191
nutritionfacts.org,conspiracy,UCddn8dUxYdgJz3Qr5mjADtA,84260143,380384,1564
our health guides,conspiracy,UCvGchCFlFKVmQh5zHLlPhrw,419,1,1
pak alert press,conspiracy,UCJekW1Vj5fCVEGdye_mBN6Q,711184921,1691339,25960
people for the ethical treatment of animals (peta),conspiracy,UCe4s4etJwJ5mLz6I8GO2EKg,6,1,1
political blind spot,conspiracy,UC7kHX39cBk5goUrh3H5qAKg,59504,919,82
popular technology,conspiracy,UCXuqSBlHAE6Xw-yeJA0Tunw,1892541002,6429101,4226
press for truth,conspiracy,UCMOWB-s0Kek9o9sS8xA_kZQ,24278737,176152,1249
principia scientific international,conspiracy,UCp9Zy5rRmVEYeNJxFMJ6R-A,146897,449,166
prison planet,conspiracy,UCittVh8imKanO_5KohzDbpg,303450132,1297331,647
prophecy news watch,conspiracy,UCGYFXldjRXJ4VIwWZDos2hQ,372588,0,70
prophecy today,conspiracy,UCkz3m787ygph7Uvjxzngl-g,20567803,97348,1679
rapture news network,conspiracy,UC3q-ByZ2eoOikcEiajMYXXA,50790988,224805,2195
real jew news,conspiracy,UCtBqVgzL_cDv_t9o2hFiXXg,36961132,141399,436
real news 24,conspiracy,UCre-gaUAcOgWJZKPOH6CpAg,48260238,165449,354
redoubt news,conspiracy,UCAb0o7D-YT-sl5_W8sP5n2g,83432,1164,284
rense,conspiracy,UCDGv5lznlcbgOeH5-pqo5MQ,9981454,61969,485
revolution radio,conspiracy,UCqC_GY2ZiENFz2pwL0cSfAw,1706943986,3025928,170
sanevax,conspiracy,UC9aSMdRgICU1P8i-Q9HVyIQ,50072,219,15
scepcop (debunking skeptics),conspiracy,UCq7VitvbMLpvQm20KkOxUWQ,876505,929,36
science factz,conspiracy,UCOoZW6cHqMQW7D1lKgKxf2Q,0,0,1
science vibe,conspiracy,UCaKbUL2kHpEl8z6-vWrQ14g,883,2,29
shoebat,conspiracy,UCB5plhWgfqL3wW7HwIDvWjg,49513,1741,54
simple organic medicine,conspiracy,UCzaytKTZ_Plpbx242FWL1UA,302,9,4
skeptiko,conspiracy,UCixeYLxo6md2Mpnpu6xfIgA,858595,5789,213
south front,conspiracy,UCaV101EM1QayFkP0E7zwXCg,35963513,104949,1341
space.news,conspiracy,UCrMePiHCWG4Vwqv3t7W9EFg,119890619,1051947,447
stillness in the storm,conspiracy,UCh_tqfiqNM89lL4SclgCG6w,502896,8840,100
storm clouds gathering,conspiracy,UCEHsSWvrGVSIA63OV3J6vhA,43134716,513752,127
sustainable pulse,conspiracy,UCruqGXbNXkaALHACQfapgzw,1902,3,2
the anti-media,conspiracy,UC3WTkn7pdy8nROv3dEtwwMA,240659,1928,48
the aware,conspiracy,UCF1U-Jwj6HNNbAVu-ClS-QQ,48136,28,1
the common sense show,conspiracy,UCfGsBebGrr1Cwlp38gtT55w,33107455,98500,4749
the controversial files,conspiracy,UC9DyXiHMYnSBc2mcNGdRWKA,0,5377,0
the corbett report,conspiracy,UC7TvL4GlQyMBLlUsTrN_C4Q,54654332,265106,1439
the crusader journal,conspiracy,UCtzM4rWRlqXTHAnAyWryiNg,2657,327,23
the daily conspiracy,conspiracy,UCPZiqlNI3RLyF47QTdq93GQ,278412065,1658868,608
the daily sheeple,conspiracy,UCm0l4O7VUWfNN8VRaiZuJZQ,12336140,35653,1074
the earth child,conspiracy,UCbtaQOpnl4Wsv34r4-V5W4w,71420,127,20
the forbidden knowledge,conspiracy,UCPSNiRNrx57fL6m1jQBP8Qg,195257,4180,165
the hearty soul,conspiracy,UCozkkCo93PuwVwTadbnjz4g,32698,309,78
the international reporter,conspiracy,UCkFDljhOhcVDb9Bbx5DJ6tA,1877,0,1
the internet post,conspiracy,UCi387e4dbi9Ys1vGsxKhFXg,9,1,2
the last great stand,conspiracy,UCT7nFR0YtJWREgJw6ESzdvw,302204,424,20
the liberty beacon,conspiracy,UCIt__VSVygjtxKsO3q9Et4Q,397,24,7
the mind unleashed,conspiracy,UC2fdSG8UHZJe_BhOuZAKYKw,59291,4788,5
the stream,conspiracy,UCrrQ3Z6s0jcj663vr2gIWOQ,2618064,2293,132
the trumpet,conspiracy,UCB7z0vqLeb9fxfxQBqwUK7g,5995915,22049,742
the truth about cancer,conspiracy,UCC0Ff6iAdp-D6p8Nj-59yYQ,18499674,108186,402
the truth seeker,conspiracy,UCmls-qMIv3dqwqOaX0Usg7A,259639,4079,129
thinking mom’s revolution,conspiracy,UCZCwMfgWaeDVWpjC7mT8i9w,68348,243,74
thought crime radio,conspiracy,UCWReoH2I1fbPAc48u30WAVw,68,0,7
thrive movement,conspiracy,UCMffZS4_Fp-e-xG1u1IXoNg,37710578,205265,304
topinfo post,conspiracy,UChGpbqX9NbrqxdiosEMk7MA,39079,0,47
trunews,conspiracy,UCBpSlvedUI6VmwBjQLpFb0g,16574892,73648,2967
truth broadcasting network,conspiracy,UCw_AthKfwqB3XYpboTFZFmg,5042161,32702,1752
truth channel politics,conspiracy,UCWQDllNwGPKuR7yIL4gzKew,0,0,0
truth theory,conspiracy,UC7pjcXDOGZ9uJlTJ8dIet5g,5738,208,7
twisted.news,conspiracy,UCW8jTYE3f2xFkMnZgC_Tzhw,19307,0,39
tyranny rising,conspiracy,UCp9bboS6v9wTzJP3xLe6GuA,1277,31,5
uk column,conspiracy,UCr_dQZ0irQdRiwVatkuHPcA,2462118,20177,561
underground health,conspiracy,UCBQ_AWOz0xD-3ldMpf4nRyQ,7643650,106454,349
usa hitman,conspiracy,UCjcc3X5cBW19QTNh_ncHvVw,302,3,60
usawatchdog.com,conspiracy,UCG-G8LLr38fQUNZU8K0t-EA,56316294,157215,983
vaccines.news,conspiracy,UCKqRGtOtDkzFGa_36kk1vLw,56318,347,81
vaxxter,conspiracy,UCCc1-IXUaYL8ssFg9Me-W3Q,1024,16,13
veterans today,conspiracy,UC2Vba5-IAh9kxID8ExsikFw,208883,968,76
vigilant citizen,conspiracy,UCnCUOl0k7asaZyNtl68EasA,23679281,149846,210
viral news network,conspiracy,UCXFTzz_5ryyq_okVlM4sdWA,16591026,134089,1292
wake up world,conspiracy,UCH41dCo22JtaSNeQ3HNiUrw,34067985,33174,41
watts up with that,conspiracy,UCEudb0Ezzv5rqGo9-gX9rUw,450,4,2
we are anonymous,conspiracy,UCA071Pllf2wk-B8Rkwt47bQ,120555737,2083301,278
we are change,conspiracy,UChwwoeOZ3EJPobW83dgQfAg,111931731,522759,1810
wellness achiever,conspiracy,UCRB1l2UOCp6L3BCuK1OGxdA,97,1,3
