videoId, media, bias, youtube_channel, viewCount, subscribersCount, videoCount
TSNPT7vw7Pw,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
5A6Aue6z8Ac,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
LwiOBlyWpko,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
rbu6IodYAa0,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
T4dEhc0OvgI,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
XsC8xjTbl7w,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
SsftR-xo9mU,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
UhrlsnWLuQc,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
bIvqixH4ICk,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
FBPbZy3AGTU,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
HWWFB6RZwgg,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
w2pRGuY0WxE,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
Bpoq7bLB4bY,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
jrXf8Qn9pBI,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
cXLk879Glbk,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
vzQlK65-aco,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
kRpI2qyQhG0,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
rSM8OOjaiMQ,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
B2WU7yVygGU,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
k1bQ5RZ03IQ,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
Vc68vIafmic,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
EWFksTeeJiY,cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
